value,nickname,age,gender
$launch,$launch,1,TRUE
$exitPage,$exitPage,2,FALSE
$error,$error,3,TRUE
eventid,eventid,4,FALSE
$crash,$crash,5,TRUE
222,222,6,TRUE
button_stu_knowledge,button_stu_knowledge,7,FALSE
eventid1111,eventid1111,8,TRUE
b,b,9,FALSE
2255,2255,10,TRUE
ooo,ooo,11,TRUE
66666,66666,12,FALSE
65555,65555,13,TRUE
Ads2,Ads2,14,FALSE
1111,1111,15,TRUE
Ads1,Ads1,16,TRUE
fggg,fggg,17,FALSE
$appClick,$appClick,18,TRUE
1035,1035,19,FALSE
DAIGOU,DAIGOU,20,TRUE
1032,1032,21,TRUE
pdy_sy_banner,pdy_sy_banner,22,FALSE
2222,2222,23,TRUE
1053,1053,24,FALSE
1054,1054,25,TRUE
1103,1103,26,TRUE
1102,1102,27,FALSE
event1,event1,28,TRUE
event2,event2,29,TRUE
event3,event3,30,FALSE
event4,event4,31,TRUE
eventtyyhhhid,eventtyyhhhid,32,FALSE
555,555,33,TRUE
2225,2225,34,TRUE
初始事件,初始事件,35,FALSE
eventidyyyyh.,eventidyyyyh.,36,TRUE
eventidyyyyh,eventidyyyyh,37,FALSE
111,111,38,TRUE
button_task,button_task,39,TRUE
button_message,button_message,40,FALSE
MEIFA,MEIFA,41,TRUE
WEIQUAN,WEIQUAN,42,FALSE
MINSU,MINSU,43,TRUE
button_growth,button_growth,44,TRUE
JIPIAO,JIPIAO,45,FALSE
